,Data Label,Description
66,Elec_EnergyPlugsBA1,Electrical Energy_Electrical Cumulative energy consumption at receptacles of bathroom 1 from midnight Wh
67,Elec_EnergyGarbageDisposal,Electrical  Energy_Electrical Cumulative energy consumption by garbage disposal from midnight Wh
68,Elec_EnergyPlugsKitRange,Electrical  Energy_Electrical Cumulative energy consumption by blender from midnight Wh
69,Elec_EnergyPlugsKitPeninsula,Electrical  Energy_Electrical Cumulative energy consumption by hand mixer and can opener from midnight Wh
70,Elec_EnergyMicrowave,Electrical  Energy_Electrical Cumulative energy consumption by microwave oven from midnight Wh
71,Elec_EnergyPlugs2ndFloor,Electrical Energy_Electrical Cumulative energy consumption from receptacles in bathroom 2 from midnight Wh
72,Elec_EnergySpare2,Electrical Energy_Electrical Cumulative energy consumption by computer network hardware in basement from midnight Wh
73,Elec_EnergyPlugsBR2,Electrical Energy_Electrical Cumulative energy consumption from receptacles in bedroom 2 from midnight Wh
74,Elec_EnergyPlugsMBR,Electrical Energy_Electrical Cumulative energy consumption from receptacles in master bedroom from midnight Wh
75,Elec_EnergyPlugsMBAEast,Electrical Energy_Electrical Cumulative energy consumption from receptacles on east side of master bathroom from midnight Wh
76,Elec_EnergyDishwasher,Electrical Energy_Electrical Cumulative energy consumption by dishwasher from midnight Wh
77,Elec_EnergyPlugsBA2South,Electrical Energy_Electrical Cumulative energy consumption from receptacles on south side of bathroom 2 from midnight Wh
78,Elec_EnergyPlugsMBAWest,Electrical Energy_Electrical Cumulative energy consumption from receptacles on west side of master bathroom from midnight Wh
79,Elec_EnergyPlugsBA2North,Electrical Energy_Electrical Cumulative energy consumption from receptacles on north side of bathroom 2 from midnight Wh
80,Elec_EnergyPlugsBR3,Electrical Energy_Electrical Cumulative energy consumption from receptacles in bedroom 3 from midnight Wh
81,Elec_EnergyRefrigerator,Electrical Energy_Electrical Cumulative energy consumption by refrigerator from midnight Wh
82,Elec_EnergyPlugsKitSink,Electrical  Energy_Electrical Cumulative energy consumption by toaster from midnight Wh
83,Elec_EnergyPlugsDRB,Electrical Energy_Electrical Cumulative energy consumption from receptacles in dining room from midnight Wh
84,Elec_EnergyPlugsAttic,Electrical Energy_Electrical Cumulative energy consumption from receptacles in attic from midnight Wh
