ID,Data Label,Description
339,PV_PVSystem1ACPowerOSPACPV1OS,PV_PVSystem1ACPowerOSPACPV1OS PV Attic Power_Electrical Instantaneous AC power reading from inverter 1 as measured by an inline meter W
340,PV_PVSystem2ACEnergyOSEACPV2OS,PV_PVSystem2ACEnergyOSEACPV2OS PV Attic Energy_Electrical Cumulative AC energy generation out of the inverter 2 of the photovoltaic array; data collected with an inline meter.   Wh
341,PV_PVSystem2ACPowerOSPACPV2OS,PV_PVSystem2ACPowerOSPACPV2OS PV Attic Power_Electrical Instantaneous AC power reading from inverter 1 as measured by an inline meter W
342,PV_StringCurrentIStr1,PV_StringCurrentIStr1 PV  Attic Current_Electrical Instantaneous direct current from string 1 feeding into inverter 1 A
343,PV_StringCurrentIStr2,PV_StringCurrentIStr2 PV  Attic Current_Electrical Instantaneous direct current from string 2 feeding into inverter 1 A
344,PV_StringCurrentIStr3,PV_StringCurrentIStr3 PV  Attic Current_Electrical Instantaneous direct current from string 3 feeding into inverter 2 A
345,PV_StringCurrentIStr4,PV_StringCurrentIStr4 PV  Attic Current_Electrical Instantaneous direct current from string 4 feeding into inverter 2 A
346,PV_StringVoltageUStr2,PV_StringVoltageUStr2 PV Attic Voltage_Electrical Instantaneous voltage from Strings 1 and 2 of photovoltaic array into inverter 1 (DC) V
347,PV_StringVoltageUStr4,PV_StringVoltageUStr4 PV Attic Voltage_Electrical Instantaneous voltage from Strings 3 and 4 of photovoltaic array into inverter 2 (DC) V
348,PV_VoltsANUAN1,PV_VoltsANUAN1 PV Attic Voltage_Electrical Instantaneous voltage difference between the Phase A wire and the neutral wire for inverter 1 (AC) V
349,PV_VoltsANUAN2,PV_VoltsANUAN2 PV Attic Voltage_Electrical Instantaneous voltage difference between the Phase A wire and the neutral wire for inverter 2 (AC) V
350,PV_VoltsBNUBN1,PV_VoltsBNUBN1 PV Attic Voltage_Electrical Instantaneous voltage difference between the Phase B wire and the neutral wire for inverter 1 (AC) V
351,PV_VoltsBNUBN2,PV_VoltsBNUBN2 PV Attic Voltage_Electrical Instantaneous voltage difference between the Phase B wire and the neutral wire for inverter 2 (AC) V
352,PV_Watts3PhTotalW3PhT1,PV_Watts3PhTotalW3PhT1 PV Attic Power_Electrical Instantaneous power produced from Inverter 1 (1-phase AC); meter uses remotely located  current transformers W
353,PV_Watts3PhTotalW3PhT2,PV_Watts3PhTotalW3PhT2 PV Attic Power_Electrical Instantaneous power produced from Inverter 2 (1-phase AC); meter uses remotely located current transformers W
354,PV_WhoursDeliveredWhD1,PV_WhoursDeliveredWhD1 PV Attic Energy_Electrical Cumulative energy delivered by inverter 1 from beginning of operation as measured by meter using current transformers Wh
355,PV_WhoursDeliveredWhD2,PV_WhoursDeliveredWhD2 PV Attic Energy_Electrical Cumulative energy delivered by inverter 2 from beginning of operation as measured by meter using current transformers Wh
356,Elec_PowerPlugsBaseAHeliodyneHXs,Elec_PowerPlugsBaseAHeliodyneHXs SHW Basement Power_Electrical Instantaneous power used by solar water heater pumps W
357,SHW_GlycolFlowHXCoriolisSHW,SHW_GlycolFlowHXCoriolisSHW SHW Basement Flow_Glycol Cumulative volume of glycol/water solution flowing through the heat exchanger of the solar water heating system starting from midnight Gallons
358,SHW_GlycolFlowRateHXCoriolisSHW,SHW_GlycolFlowRateHXCoriolisSHW SHW Basement Flow_Glycol Instantaneous flow rate of glycol/water solution flowing through the heat exchanger of the solar water heating system Gallons Per Minute
359,SHW_GlycolTempSHWPanel80galOut,SHW_GlycolTempSHWPanel80galOut SHW Outdoor Temp_Glycol Instantaneous temperature of glycol/water solution leaving solar panel on roof; temperature is measured with a surface RTD mounted on the surface of the pipe and wrapped in insulation   °C
360,SHW_PSPSHW,SHW_PSPSHW SHW Outdoor Light_Solar Solar broadband insolation measured adjacent to and in the plane of the solar thermal collectors W/m2
361,SHW_SHWHX80galWaterFlow,SHW_SHWHX80galWaterFlow SHW Basement Flow_Water Cumulative volume of potable water flowing through the heat exchanger of the solar water heating system starting from midnight (as measured by the heat exchanger’s internal flow meter) Gallons
362,SHW_WaterFlowHXCoriolisSHW,SHW_WaterFlowHXCoriolisSHW SHW Basement Flow_Water Cumulative volume of potable water flowing through the heat exchanger of the solar water heating system starting from midnight Gallons
363,SHW_WaterFlowRateHXCoriolisSHW,SHW_WaterFlowRateHXCoriolisSHW SHW Basement Flow_Water Instantaneous flow rate of potable water flowing through the heat exchanger of the solar water heating system Gallons Per Minute
364,Elec_EnergyMakeUpAirDamper,Elec_EnergyMakeUpAirDamper Ventilation Attic Energy_Electrical Cumulative energy consumption of make-up air damper located in attic from midnight Wh
365,Elec_PowerMakeUpAirDamper,Elec_PowerMakeUpAirDamper Ventilation Attic Power_Electrical Instantaneous power consumption of make-up air damper located in attic  W
366,Vent_HRVDewpointTemperatureExhaust,Vent_HRVDewpointTemperatureExhaust Ventilation Basement Temp_DewP Instantaneous dew point temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house °C
367,Vent_HRVDewpointTemperatureOutdoor,Vent_HRVDewpointTemperatureOutdoor Ventilation Basement Temp_DewP Instantaneous dew point temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house °C
368,Vent_HRVDewpointTemperatureReturn,Vent_HRVDewpointTemperatureReturn Ventilation Basement Temp_DewP Instantaneous dew point temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being returned to the HRV  from the house °C
369,Vent_HRVDewpointTemperatureSupply,Vent_HRVDewpointTemperatureSupply Ventilation Basement Temp_DewP Instantaneous dew point temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the heat recovery ventilator °C
370,Vent_HRVexhaustflowrate,Vent_HRVexhaustflowrate Ventilation Basement Flow_Air Instantaneous flow rate of air in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house ft3/min
371,Vent_HRVfreshairpressuredifferential,Vent_HRVfreshairpressuredifferential Ventilation Basement Pressure_Air Instantaneous pressure differential across heat recovery ventilator of the outdoor air stream Inches H2O
372,Vent_HRVoutdoorflowrate,Vent_HRVoutdoorflowrate Ventilation Basement Flow_Air Instantaneous flow rate of air in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house ft3/min
373,Vent_HRVreturnflowrate,Vent_HRVreturnflowrate Ventilation Basement Flow_Air Instantaneous flow rate of air in the return flow duct entering the heat recovery ventilator; refers to indoor air being returned to HRV from the house ft3/min
374,Vent_HRVstaleairpressuredifferential,Vent_HRVstaleairpressuredifferential Ventilation Basement Pressure_Air Instantaneous pressure differential across heat recovery ventilator of the exhaust air stream Inches H2O
375,Vent_HRVTempExhaustOut,Vent_HRVTempExhaustOut Ventilation Basement Temp_Air Instantaneous dry bulb temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house °C
376,Vent_HRVTempOutdoorin,Vent_HRVTempOutdoorin Ventilation Basement Temp_Air Instantaneous dry bulb temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house °C
377,Vent_HRVTempReturnIn,Vent_HRVTempReturnIn Ventilation Basement Temp_Air Instantaneous dry bulb temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being returned to HRV from the house °C
378,Vent_HRVTempSupplyOut,Vent_HRVTempSupplyOut Ventilation Basement Temp_Air Instantaneous dry bulb temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the heat recovery ventilator °C
