ID,Data Label,Description
54,Elec_EnergyPlugsBaseAHeliodyneHXs,Elec_EnergyPlugsBaseAHeliodyneHXs Elec Basement Energy_Electrical Cumulative energy used by solar water heater pumps from midnight Wh
55,Elec_EnergyPlugsDR,Elec_EnergyPlugsDR Electrical Dining Room Energy_Electrical Cumulative energy consumption at receptacles of dining room from midnight Wh
56,Elec_EnergyPlugsBR4,Elec_EnergyPlugsBR4 Electrical Bedroom4 Energy_Electrical Cumulative energy consumption at receptacles of bedroom 4 from midnight Wh
57,Elec_EnergyPlugsEntryHall,Elec_EnergyPlugsEntryHall Electrical Entry Hallway Energy_Electrical Cumulative energy consumption at receptacles in entry hallway from midnight Wh
58,Elec_EnergyPlugsLR,Elec_EnergyPlugsLR Electrical Living Room Energy_Electrical Cumulative energy consumption at receptacles of living room from midnight Wh
59,Elec_EnergyClothesWasher,Elec_EnergyClothesWasher Electrical Utility Energy_Electrical Cumulative energy consumption of clothes washer from midnight Wh
60,Elec_EnergyDryer1of2,Elec_EnergyDryer1of2 Electrical Utility Energy_Electrical Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer Wh
61,Elec_EnergyDryer2of2,Elec_EnergyDryer2of2 Electrical Utility Energy_Electrical Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer Wh
62,Elec_EnergyPlugsBaseB,Elec_EnergyPlugsBaseB Electrical Basement Energy_Electrical Cumulative energy consumption at receptacle B in basement from midnight Wh
63,Elec_EnergyPlugsBaseC,Elec_EnergyPlugsBaseC Electrical Basement Energy_Electrical Cumulative energy consumption at receptacle C in basement from midnight Wh
64,Elec_EnergySumpPump,Elec_EnergySumpPump Electrical Basement Energy_Electrical Cumulative energy consumption of sump pump in basement from midnight Wh
65,Elec_EnergySpare1,Elec_EnergySpare1 Electrical  Basement Energy_Electrical Cumulative energy consumption of standby electrical load in basement from midnight Wh
66,Elec_EnergyPlugsBA1,Elec_EnergyPlugsBA1 Electrical Bath1 Energy_Electrical Cumulative energy consumption at receptacles of bathroom 1 from midnight Wh
67,Elec_EnergyGarbageDisposal,Elec_EnergyGarbageDisposal Electrical  Kitchen Energy_Electrical Cumulative energy consumption by garbage disposal from midnight Wh
68,Elec_EnergyPlugsKitRange,Elec_EnergyPlugsKitRange Electrical  Kitchen Energy_Electrical Cumulative energy consumption by blender from midnight Wh
69,Elec_EnergyPlugsKitPeninsula,Elec_EnergyPlugsKitPeninsula Electrical  Kitchen Energy_Electrical Cumulative energy consumption by hand mixer and can opener from midnight Wh
70,Elec_EnergyMicrowave,Elec_EnergyMicrowave Electrical  Kitchen Energy_Electrical Cumulative energy consumption by microwave oven from midnight Wh
71,Elec_EnergyPlugs2ndFloor,Elec_EnergyPlugs2ndFloor Electrical Bath2 Energy_Electrical Cumulative energy consumption from receptacles in bathroom 2 from midnight Wh
72,Elec_EnergySpare2,Elec_EnergySpare2 Electrical Basement Energy_Electrical Cumulative energy consumption by computer network hardware in basement from midnight Wh
73,Elec_EnergyPlugsBR2,Elec_EnergyPlugsBR2 Electrical Bedroom2 Energy_Electrical Cumulative energy consumption from receptacles in bedroom 2 from midnight Wh
74,Elec_EnergyPlugsMBR,Elec_EnergyPlugsMBR Electrical MBedroom Energy_Electrical Cumulative energy consumption from receptacles in master bedroom from midnight Wh
75,Elec_EnergyPlugsMBAEast,Elec_EnergyPlugsMBAEast Electrical MBath Energy_Electrical Cumulative energy consumption from receptacles on east side of master bathroom from midnight Wh
76,Elec_EnergyDishwasher,Elec_EnergyDishwasher Electrical Kitchen Energy_Electrical Cumulative energy consumption by dishwasher from midnight Wh
77,Elec_EnergyPlugsBA2South,Elec_EnergyPlugsBA2South Electrical Bath2 Energy_Electrical Cumulative energy consumption from receptacles on south side of bathroom 2 from midnight Wh
78,Elec_EnergyPlugsMBAWest,Elec_EnergyPlugsMBAWest Electrical MBath Energy_Electrical Cumulative energy consumption from receptacles on west side of master bathroom from midnight Wh
79,Elec_EnergyPlugsBA2North,Elec_EnergyPlugsBA2North Electrical Bath2 Energy_Electrical Cumulative energy consumption from receptacles on north side of bathroom 2 from midnight Wh
80,Elec_EnergyPlugsBR3,Elec_EnergyPlugsBR3 Electrical Bedroom3 Energy_Electrical Cumulative energy consumption from receptacles in bedroom 3 from midnight Wh
81,Elec_EnergyRefrigerator,Elec_EnergyRefrigerator Electrical Kitchen Energy_Electrical Cumulative energy consumption by refrigerator from midnight Wh
82,Elec_EnergyPlugsKitSink,Elec_EnergyPlugsKitSink Electrical  Kitchen Energy_Electrical Cumulative energy consumption by toaster from midnight Wh
83,Elec_EnergyPlugsDRB,Elec_EnergyPlugsDRB Electrical Dining Room Energy_Electrical Cumulative energy consumption from receptacles in dining room from midnight Wh
84,Elec_EnergyPlugsAttic,Elec_EnergyPlugsAttic Electrical Attic Energy_Electrical Cumulative energy consumption from receptacles in attic from midnight Wh
85,Elec_PowerPlugsDR,Elec_PowerPlugsDR Electrical Dining Room Power_Electrical Instantaneous power used at receptacles of dining room  W
86,Elec_PowerPlugsBR4,Elec_PowerPlugsBR4 Electrical Bedroom4 Power_Electrical Instantaneous power used at receptacles of bedroom 4  W
87,Elec_PowerPlugsEntryHall,Elec_PowerPlugsEntryHall Electrical Entry Hallway Power_Electrical Instantaneous power used at receptacles in entry hallway  W
88,Elec_PowerPlugsLR,Elec_PowerPlugsLR Electrical Living Room Power_Electrical Instantaneous power used at receptacles of living room  W
89,Elec_PowerClothesWasher,Elec_PowerClothesWasher Electrical Utility Power_Electrical Instantaneous power used by clothes washer  W
90,Elec_PowerDryer1of2,Elec_PowerDryer1of2 Electrical Utility Power_Electrical Instantaneous power used by one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer W
91,Elec_PowerDryer2of2,Elec_PowerDryer2of2 Electrical Utility Power_Electrical Instantaneous power consumption of one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer W
92,Elec_PowerPlugsBaseB,Elec_PowerPlugsBaseB Electrical Basement Power_Electrical Instantaneous power used at receptacle B in basement  W
93,Elec_PowerPlugsBaseC,Elec_PowerPlugsBaseC Electrical Basement Power_Electrical Instantaneous power used at receptacle C in basement  W
94,Elec_PowerSumpPump,Elec_PowerSumpPump Electrical Basement Power_Electrical Instantaneous power used by sump pump in basement W
95,Elec_PowerSpare1,Elec_PowerSpare1 Electrical Basement Power_Electrical Instantaneous power used by standby load in basement W
96,Elec_PowerPlugsBA1,Elec_PowerPlugsBA1 Electrical Bath1 Power_Electrical Instantaneous power used by receptacles of bathroom 1 W
97,Elec_PowerGarbageDisposal,Elec_PowerGarbageDisposal Electrical  Kitchen Power_Electrical Instantaneous power consumption by garbage disposal  W
98,Elec_PowerPlugsKitRange,Elec_PowerPlugsKitRange Electrical  Kitchen Power_Electrical Instantaneous power consumption by blender  W
99,Elec_PowerPlugsKitPeninsula,Elec_PowerPlugsKitPeninsula Electrical  Kitchen Power_Electrical Instantaneous power consumption by mixer and can opener W
100,Elec_PowerMicrowave,Elec_PowerMicrowave Electrical  Kitchen Power_Electrical Instantaneous power consumption by microwave oven  W
101,Elec_PowerPlugs2ndFloor,Elec_PowerPlugs2ndFloor Electrical Bath2 Power_Electrical Instantaneous power consumption from receptacles in bathroom 2  W
102,Elec_PowerSpare2,Elec_PowerSpare2 Electrical Basement Power_Electrical Instantaneous power consumption by computer network connection in basement W
103,Elec_PowerPlugsBR2,Elec_PowerPlugsBR2 Electrical Bedroom2 Power_Electrical Instantaneous power consumption from receptacles in bedroom 2  W
104,Elec_PowerPlugsMBR,Elec_PowerPlugsMBR Electrical MBedroom Power_Electrical Instantaneous power consumption from receptacles in master bedroom  W
105,Elec_PowerPlugsMBAEast,Elec_PowerPlugsMBAEast Electrical MBath Power_Electrical Instantaneous power consumption from receptacles on east side of master bathroom  W
106,Elec_PowerDishwasher,Elec_PowerDishwasher Electrical Kitchen Power_Electrical Instantaneous power consumption by dishwasher  W
